round,parameter,kind,numel,mean_abs,sigma_mean,sigma_min,sigma_max,snr_mean
84,conv2.mu_kernel,bbb,51200,0.08329098671674728,0.04882431402802467,0.03242260590195656,0.07458502799272537,1.7224382162094116
84,conv2.mu_bias,bbb,64,0.31684309244155884,0.04942909628152847,0.03656865283846855,0.06035958230495453,6.46828556060791
84,fc1.mu_weight,bbb,819200,0.07953307032585144,0.0488150417804718,0.02952762506902218,0.07759173214435577,1.6448423862457275
84,fc1.mu_bias,bbb,512,0.19820719957351685,0.04876748472452164,0.03452431038022041,0.06342216581106186,4.082884311676025
84,fc2.mu_weight,bbb,5120,0.06989408284425735,0.048707008361816406,0.03461482748389244,0.07154203951358795,1.4489063024520874
84,fc2.mu_bias,bbb,10,0.20934641361236572,0.048568908125162125,0.042894985526800156,0.053554467856884,4.306740760803223
85,conv1.mu_kernel,bbb,2400,0.14420154690742493,0.04858654737472534,0.032501935958862305,0.06557458639144897,3.0020220279693604
85,conv1.mu_bias,bbb,32,0.8190653324127197,0.049880437552928925,0.04056273773312569,0.06958387792110443,16.600013732910156
85,conv2.mu_kernel,bbb,51200,0.0833071768283844,0.04882427677512169,0.03242259472608566,0.07458502799272537,1.7227723598480225
85,conv2.mu_bias,bbb,64,0.3175356090068817,0.04942737892270088,0.03656869754195213,0.060359545052051544,6.4826250076293945
85,fc1.mu_weight,bbb,819200,0.0795314759016037,0.048815034329891205,0.02952762506902218,0.07759173214435577,1.644809365272522
85,fc1.mu_bias,bbb,512,0.19879275560379028,0.04876741021871567,0.03452432155609131,0.06342209130525589,4.094892978668213
85,fc2.mu_weight,bbb,5120,0.06980635970830917,0.048706624656915665,0.03461470082402229,0.0715419352054596,1.4471135139465332
85,fc2.mu_bias,bbb,10,0.21164903044700623,0.04856361076235771,0.04289145767688751,0.05354560539126396,4.355573654174805
86,conv1.mu_kernel,bbb,2400,0.14485786855220795,0.04858556017279625,0.03250184282660484,0.06557038426399231,3.015754222869873
86,conv1.mu_bias,bbb,32,0.8226108551025391,0.049876730889081955,0.04056186601519585,0.0695834755897522,16.670900344848633
86,conv2.mu_kernel,bbb,51200,0.08332738280296326,0.048824239522218704,0.03242260590195656,0.07458502799272537,1.7231929302215576
86,conv2.mu_bias,bbb,64,0.3183392584323883,0.04942578077316284,0.03656879812479019,0.06035945937037468,6.499227523803711
86,fc1.mu_weight,bbb,819200,0.07952966541051865,0.048815034329891205,0.02952762506902218,0.07759173214435577,1.644771695137024
86,fc1.mu_bias,bbb,512,0.1992781013250351,0.048767343163490295,0.034524306654930115,0.06342197209596634,4.104896545410156
86,fc2.mu_weight,bbb,5120,0.0697665810585022,0.04870622605085373,0.03461388498544693,0.07154176384210587,1.4463528394699097
86,fc2.mu_bias,bbb,10,0.21315984427928925,0.04855816066265106,0.042887136340141296,0.05353596806526184,4.389064788818359
87,conv1.mu_kernel,bbb,2400,0.14558130502700806,0.04858454316854477,0.03250209987163544,0.06556789577007294,3.0308797359466553
87,conv1.mu_bias,bbb,32,0.825629711151123,0.049872495234012604,0.04056014120578766,0.0695793479681015,16.73389434814453
87,conv2.mu_kernel,bbb,51200,0.08334237337112427,0.04882420226931572,0.03242260962724686,0.07458502799272537,1.7234913110733032
87,conv2.mu_bias,bbb,64,0.3191162645816803,0.0494241900742054,0.03656880930066109,0.0603601410984993,6.515137672424316
87,fc1.mu_weight,bbb,819200,0.07952786237001419,0.048815030604600906,0.02952762506902218,0.07759173214435577,1.6447349786758423
87,fc1.mu_bias,bbb,512,0.19981546700000763,0.048767272382974625,0.03452415391802788,0.06342179328203201,4.115836143493652
87,fc2.mu_weight,bbb,5120,0.06970194727182388,0.048705823719501495,0.034613654017448425,0.07154159992933273,1.4450451135635376
87,fc2.mu_bias,bbb,10,0.21439845860004425,0.04855220764875412,0.042882923036813736,0.05352097004652023,4.415762424468994
88,conv1.mu_kernel,bbb,2400,0.14606645703315735,0.04858357831835747,0.03250166401267052,0.06556745618581772,3.041182518005371
88,conv1.mu_bias,bbb,32,0.8309667110443115,0.04986805468797684,0.0405597910284996,0.06957714259624481,16.842453002929688
88,conv2.mu_kernel,bbb,51200,0.08336474746465683,0.04882415756583214,0.032422639429569244,0.07458502799272537,1.7239553928375244
88,conv2.mu_bias,bbb,64,0.3199653625488281,0.04942246153950691,0.03656869754195213,0.060359708964824677,6.533279895782471
88,fc1.mu_weight,bbb,819200,0.07952612638473511,0.048815030604600906,0.02952762506902218,0.07759173214435577,1.6446986198425293
88,fc1.mu_bias,bbb,512,0.20023730397224426,0.04876717925071716,0.034524135291576385,0.06342186778783798,4.124334335327148
88,fc2.mu_weight,bbb,5120,0.06964189559221268,0.04870542883872986,0.03461143746972084,0.07154242694377899,1.4437836408615112
88,fc2.mu_bias,bbb,10,0.2166248857975006,0.048545680940151215,0.0428742878139019,0.05351203307509422,4.465130805969238
89,conv1.mu_kernel,bbb,2400,0.14662624895572662,0.04858259856700897,0.032500892877578735,0.06556690484285355,3.0529980659484863
89,conv1.mu_bias,bbb,32,0.8352736234664917,0.04986206069588661,0.04055926948785782,0.06957323849201202,16.931529998779297
89,conv2.mu_kernel,bbb,51200,0.08338426798582077,0.04882412403821945,0.03242266923189163,0.07458502799272537,1.724359393119812
89,conv2.mu_bias,bbb,64,0.3204168677330017,0.049420833587646484,0.03656874597072601,0.06035960093140602,6.543046474456787
89,fc1.mu_weight,bbb,819200,0.07952441275119781,0.048815030604600906,0.02952762506902218,0.07759173214435577,1.6446630954742432
89,fc1.mu_bias,bbb,512,0.20069247484207153,0.0487670935690403,0.03452414274215698,0.063421830534935,4.1334686279296875
89,fc2.mu_weight,bbb,5120,0.06956107169389725,0.04870503768324852,0.03460925072431564,0.07154268771409988,1.4421457052230835
89,fc2.mu_bias,bbb,10,0.21863417327404022,0.04853988438844681,0.042864345014095306,0.05350985750555992,4.50750207901001
90,conv1.mu_kernel,bbb,2400,0.14728252589702606,0.04858166351914406,0.032500963658094406,0.06556670367717743,3.0667598247528076
90,conv1.mu_bias,bbb,32,0.8379501104354858,0.04985766112804413,0.04055808112025261,0.06956739723682404,16.98777198791504
90,conv2.mu_kernel,bbb,51200,0.08340474963188171,0.04882408678531647,0.03242269530892372,0.07458502799272537,1.724782109260559
90,conv2.mu_bias,bbb,64,0.32120272517204285,0.04941914230585098,0.03656875342130661,0.0603596456348896,6.559359550476074
90,fc1.mu_weight,bbb,819200,0.07952273637056351,0.04881502687931061,0.02952762506902218,0.07759173214435577,1.644627332687378
90,fc1.mu_bias,bbb,512,0.20117098093032837,0.04876702278852463,0.03452412784099579,0.06342186778783798,4.143145561218262
90,fc2.mu_weight,bbb,5120,0.06952188163995743,0.048704661428928375,0.03460892662405968,0.07154171913862228,1.44132661819458
90,fc2.mu_bias,bbb,10,0.2202271968126297,0.048535291105508804,0.04285792261362076,0.053505342453718185,4.542344093322754
91,conv1.mu_kernel,bbb,2400,0.14784635603427887,0.04858078807592392,0.03250053524971008,0.06556191295385361,3.07865571975708
91,conv1.mu_bias,bbb,32,0.8417456150054932,0.04985354468226433,0.04055830091238022,0.06956430524587631,17.064929962158203
91,conv2.mu_kernel,bbb,51200,0.08342195302248001,0.04882404953241348,0.03242271766066551,0.07458501309156418,1.7251501083374023
91,conv2.mu_bias,bbb,64,0.3219762444496155,0.04941725730895996,0.03656874597072601,0.060359887778759,6.575678825378418
91,fc1.mu_weight,bbb,819200,0.07952123880386353,0.04881502687931061,0.02952762506902218,0.07759173214435577,1.644595980644226
91,fc1.mu_bias,bbb,512,0.20165753364562988,0.048766907304525375,0.03452406823635101,0.06342153251171112,4.152983665466309
91,fc2.mu_weight,bbb,5120,0.06945168972015381,0.04870426654815674,0.03460822254419327,0.07154213637113571,1.4399402141571045
91,fc2.mu_bias,bbb,10,0.22317251563072205,0.04853198677301407,0.04285934194922447,0.05349248647689819,4.603849411010742
92,conv1.mu_kernel,bbb,2400,0.14844144880771637,0.04857984930276871,0.03250005096197128,0.06555982679128647,3.0911760330200195
92,conv1.mu_bias,bbb,32,0.845696210861206,0.04984919726848602,0.04055916517972946,0.06956292688846588,17.14566421508789
92,conv2.mu_kernel,bbb,51200,0.083441823720932,0.0488240085542202,0.03242272883653641,0.07458502799272537,1.725562572479248
92,conv2.mu_bias,bbb,64,0.32300931215286255,0.04941574111580849,0.03656872734427452,0.060359805822372437,6.59732723236084
92,fc1.mu_weight,bbb,819200,0.0795195922255516,0.04881501570343971,0.02952762506902218,0.07759173214435577,1.6445608139038086
92,fc1.mu_bias,bbb,512,0.2021510899066925,0.04876679182052612,0.03452408313751221,0.06342124193906784,4.163149833679199
92,fc2.mu_weight,bbb,5120,0.06939489394426346,0.0487038791179657,0.0346074141561985,0.07154156267642975,1.4388424158096313
92,fc2.mu_bias,bbb,10,0.22508272528648376,0.04852715879678726,0.04285646229982376,0.053487058728933334,4.646762371063232
93,conv1.mu_kernel,bbb,2400,0.14899291098117828,0.04857888072729111,0.032499589025974274,0.06555671989917755,3.1027450561523438
93,conv1.mu_bias,bbb,32,0.849567174911499,0.0498453751206398,0.04055808112025261,0.06956040114164352,17.225303649902344
93,conv2.mu_kernel,bbb,51200,0.08346220850944519,0.048823971301317215,0.03242272883653641,0.07458502799272537,1.7259751558303833
93,conv2.mu_bias,bbb,64,0.32352393865585327,0.04941442608833313,0.03656867891550064,0.06035994738340378,6.607147216796875
93,fc1.mu_weight,bbb,819200,0.07951778173446655,0.04881501570343971,0.02952762506902218,0.07759173214435577,1.6445239782333374
93,fc1.mu_bias,bbb,512,0.20257091522216797,0.04876670986413956,0.03452390804886818,0.06342144310474396,4.171715259552002
93,fc2.mu_weight,bbb,5120,0.06931138038635254,0.048703499138355255,0.03460671007633209,0.07154110074043274,1.4371815919876099
