run_id,experiment,condition,method,realization,round,logical_round,physical_round,phase,bin,lower,upper,count,confidence,accuracy
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,4,0.4,0.5,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,1,0.1,0.2,448,0.17873675927902305,0.046875
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,2,0.2,0.30000000000000004,5634,0.26369915462471283,0.07525736599219027
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,3,0.30000000000000004,0.4,3878,0.3296311497139298,0.1361526560082517
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,4,0.4,0.5,40,0.4120279150130228,0.375
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,16,16,32,natural_mean,8,0.8,0.9,0,0.0,0.0
